game_id,team1,team2,team_1_win
748246,"[35.3, 0.23170000000000002, 4.3, 1.5, 8.5, 0.6, 18.2, 0.32110000000000005, 0.7038, 3.6, 3.7, 0.38269999999999993, 0.7, 8.9, 0.2, 33.6, 4.2, 1.6, 3.1, 5.392, 6.9, 0.7, 9.3, 136.2, 0.29390000000000005, 136.2, 3.3, 3.3, 0.7, 9.4, 86.7, 0.0, 0.9]","[32.6, 0.2566, 3.6, 2.0, 8.1, 0.5, 16.1, 0.3359, 0.7274999999999999, 3.0, 3.1, 0.3916, 0.5, 9.1, 0.1, 33.6, 4.0, 1.4, 3.9, 4.128, 8.3, 1.4, 8.9, 154.3, 0.3208000000000001, 154.3, 3.8, 4.1, 0.7, 9.6, 96.8, 0.2, 0.0]",0
748261,"[35.8, 0.2534, 2.8, 2.0, 9.6, 1.0, 15.5, 0.31350000000000006, 0.7084, 4.4, 4.6, 0.3949, 1.3, 7.3, 0.2, 35.5, 4.1, 2.0, 6.3, 4.998, 10.8, 1.5, 8.7, 161.7, 0.37910000000000005, 161.7, 6.2, 6.3, 1.2, 8.4, 101.7, 0.3, 0.0]","[35.0, 0.23199999999999998, 3.3, 1.1, 8.7, 1.7, 17.0, 0.303, 0.7078, 4.6, 4.7, 0.4048, 0.3, 7.7, 0.2, 33.7, 3.4, 1.1, 4.6, 3.7310000000000003, 7.7, 1.8, 9.0, 146.0, 0.30199999999999994, 146.0, 4.7, 4.8, 0.6, 9.4, 90.4, 0.1, 0.8]",0
748245,"[35.7, 0.24169999999999994, 3.7, 1.9, 9.5, 0.8, 19.2, 0.31850000000000006, 0.7040999999999998, 4.2, 4.5, 0.38559999999999994, 0.4, 11.1, 0.3, 33.3, 3.4, 1.7, 4.8, 4.722000000000001, 8.4, 1.3, 8.709999999999999, 148.5, 0.3165, 148.5, 4.8, 4.9, 0.9, 9.0, 95.2, 0.0, 0.3]","[31.0, 0.2474, 2.6, 1.4, 6.4, 0.8, 11.4, 0.31670000000000004, 0.7395, 2.8, 2.9, 0.42279999999999995, 0.5, 8.5, 0.0, 33.6, 3.2, 1.2, 3.1, 4.385, 7.4, 0.7, 8.9, 140.6, 0.2771, 140.6, 3.2, 3.6, 1.1, 9.3, 90.6, 0.1, 0.7]",0
748240,"[35.1, 0.23049999999999998, 3.6, 1.1, 8.8, 1.6, 17.3, 0.30720000000000003, 0.6975, 5.1, 5.2, 0.3903, 0.5, 8.0, 0.3, 34.0, 3.4, 1.2, 4.4, 3.6310000000000002, 7.8, 1.8, 9.0, 136.6, 0.3016, 136.6, 4.5, 4.6, 0.6, 9.2, 86.3, 0.2, 1.0]","[33.2, 0.25980000000000003, 4.3, 2.6, 8.1, 0.4, 17.1, 0.3429, 0.7583, 4.8, 5.2, 0.4154, 0.4, 7.9, 0.0, 36.4, 3.6, 3.1, 5.5, 5.111, 10.9, 1.3, 8.9, 150.6, 0.3569, 150.6, 5.9, 6.3, 0.4, 7.4, 95.4, 0.4, 0.1]",0
748243,"[36.7, 0.25179999999999997, 2.3, 2.0, 11.0, 1.5, 16.4, 0.31100000000000005, 0.7317, 5.4, 5.5, 0.42069999999999996, 0.4, 8.7, 0.0, 37.1, 3.1, 2.9, 5.1, 4.083, 10.0, 1.3, 9.0, 146.4, 0.33000000000000007, 146.4, 5.5, 6.3, 0.7, 10.0, 96.4, 0.4, 0.3]","[32.9, 0.23940000000000006, 5.3, 1.8, 8.9, 1.3, 15.0, 0.3205, 0.7051000000000001, 5.9, 6.0, 0.3846000000000001, 0.5, 8.0, 0.5, 33.6, 3.5, 1.6, 3.3, 5.5649999999999995, 7.6, 0.9, 8.9, 143.9, 0.28350000000000003, 143.9, 3.7, 4.1, 1.2, 8.5, 94.4, 0.1, 0.8]",1
748238,"[32.0, 0.26990000000000003, 2.0, 1.7, 7.2, 0.6, 15.0, 0.33480000000000004, 0.7722, 2.5, 3.0, 0.43739999999999996, 1.4, 9.7, 0.1, 29.6, 2.1, 1.4, 2.9, 4.359, 5.9, 0.7, 8.2, 115.3, 0.2615, 115.3, 3.0, 3.2, 0.5, 8.3, 76.2, 0.0, 0.0]","[32.6, 0.2474, 5.2, 1.3, 7.8, 1.4, 15.2, 0.3555, 0.7906, 5.0, 5.2, 0.4351, 0.3, 11.2, 0.0, 34.1, 2.8, 0.9, 3.1, 3.38, 8.0, 1.5, 8.91, 146.4, 0.29240000000000005, 146.4, 3.3, 3.5, 0.4, 10.8, 97.2, 0.1, 1.0]",1
748244,"[34.6, 0.2304, 2.9, 1.3, 8.6, 1.0, 16.5, 0.29669999999999996, 0.6796, 4.2, 4.5, 0.3829, 1.1, 8.7, 0.3, 35.2, 3.7, 1.7, 4.8, 3.6870000000000003, 9.5, 2.1, 8.9, 148.0, 0.3441000000000001, 148.0, 5.3, 5.6, 1.9, 9.1, 94.4, 0.0, 0.3]","[32.0, 0.26990000000000003, 2.0, 1.7, 7.2, 0.6, 15.0, 0.33480000000000004, 0.7722, 2.5, 3.0, 0.43739999999999996, 1.4, 9.7, 0.1, 29.6, 2.1, 1.4, 2.9, 4.359, 5.9, 0.7, 8.2, 115.3, 0.2615, 115.3, 3.0, 3.2, 0.5, 8.3, 76.2, 0.0, 0.0]",0
748239,"[34.1, 0.2385, 4.7, 1.9, 8.7, 1.2, 17.1, 0.3273, 0.7555999999999999, 5.2, 5.5, 0.4283000000000001, 0.7, 9.4, 0.2, 33.2, 3.6, 1.4, 4.8, 4.55, 8.9, 1.0, 8.7, 154.0, 0.3391, 154.0, 5.0, 5.0, 1.0, 8.2, 97.7, 0.1, 0.3]","[35.3, 0.253, 3.5, 1.5, 9.2, 1.2, 14.5, 0.3286, 0.7056000000000001, 4.6, 5.3, 0.377, 0.7, 7.9, 0.3, 35.7, 3.5, 1.8, 5.0, 4.235, 9.9, 1.4, 8.9, 147.0, 0.33940000000000003, 147.0, 5.2, 5.5, 0.5, 10.3, 96.1, 0.1, 0.7]",1
748237,"[33.1, 0.2722, 3.8, 1.9, 8.8, 2.3, 12.9, 0.35619999999999996, 0.9138999999999999, 5.3, 5.7, 0.5577, 0.7, 9.2, 0.2, 34.1, 3.3, 1.3, 3.1, 2.706, 8.3, 0.6, 8.809999999999999, 144.4, 0.30229999999999996, 144.4, 3.4, 3.7, 1.3, 9.1, 92.3, 0.1, 1.0]","[34.1, 0.2385, 4.7, 1.9, 8.7, 1.2, 17.1, 0.3273, 0.7555999999999999, 5.2, 5.5, 0.4283000000000001, 0.7, 9.4, 0.2, 33.2, 3.6, 1.4, 4.8, 4.55, 8.9, 1.0, 8.7, 154.0, 0.3391, 154.0, 5.0, 5.0, 1.0, 8.2, 97.7, 0.1, 0.3]",1
748242,"[32.1, 0.24379999999999996, 2.3, 1.2, 7.2, 1.6, 12.8, 0.31880000000000003, 0.7255999999999999, 4.6, 4.9, 0.40679999999999994, 0.4, 10.1, 0.0, 33.8, 3.4, 0.7, 3.2, 4.461, 7.6, 0.8, 8.8, 159.2, 0.31520000000000004, 159.2, 3.6, 4.0, 1.0, 10.1, 100.1, 0.2, 0.9]","[35.1, 0.23049999999999998, 3.6, 1.1, 8.8, 1.6, 17.3, 0.30720000000000003, 0.6975, 5.1, 5.2, 0.3903, 0.5, 8.0, 0.3, 34.0, 3.4, 1.2, 4.4, 3.6310000000000002, 7.8, 1.8, 9.0, 136.6, 0.3016, 136.6, 4.5, 4.6, 0.6, 9.2, 86.3, 0.2, 1.0]",1
748241,"[32.4, 0.258, 3.0, 1.6, 7.7, 0.4, 15.3, 0.30789999999999995, 0.7001, 2.7, 2.8, 0.39220000000000005, 0.4, 8.1, 0.1, 32.9, 2.8, 2.9, 4.0, 4.783, 8.5, 0.7, 8.4, 147.1, 0.3185, 147.1, 4.0, 4.3, 0.5, 10.4, 93.8, 0.1, 0.0]","[36.0, 0.2578000000000001, 2.9, 2.3, 9.9, 1.0, 16.5, 0.32030000000000003, 0.7272000000000001, 4.5, 4.7, 0.4069, 1.3, 7.2, 0.3, 34.4, 4.2, 1.7, 5.8, 5.0, 9.8, 1.3, 8.7, 151.2, 0.36970000000000003, 151.2, 5.9, 6.0, 1.2, 8.4, 95.0, 0.3, 0.0]",0
748236,"[35.5, 0.24610000000000004, 4.5, 2.1, 10.0, 2.3, 16.1, 0.3359, 0.7588, 6.8, 7.0, 0.4229, 1.6, 9.1, 0.4, 33.8, 3.7, 2.2, 5.7, 4.299, 9.5, 1.2, 8.7, 141.5, 0.3526, 141.5, 5.9, 5.9, 0.9, 8.8, 91.2, 0.0, 0.5]","[33.3, 0.2495, 2.7, 1.6, 8.2, 1.1, 14.1, 0.3234, 0.7619000000000001, 3.8, 4.2, 0.43850000000000006, 0.3, 9.0, 0.2, 33.0, 4.9, 1.2, 4.3, 4.893, 7.7, 1.6, 8.8, 146.7, 0.341, 146.7, 4.4, 4.8, 0.2, 8.3, 88.7, 0.2, 0.0]",1
748232,"[33.3, 0.24090000000000003, 3.4, 1.3, 7.9, 1.0, 13.4, 0.33630000000000004, 0.7346, 4.6, 4.8, 0.3983, 0.2, 8.7, 0.1, 33.1, 3.6, 1.5, 4.8, 4.638, 7.7, 1.8, 8.7, 122.9, 0.3053, 122.9, 4.8, 4.8, 0.9, 8.3, 79.2, 0.2, 0.0]","[31.7, 0.21190000000000006, 2.9, 1.3, 6.8, 0.9, 12.3, 0.2854, 0.6408, 3.2, 3.3, 0.35540000000000005, 0.9, 9.5, 0.1, 31.9, 4.2, 1.7, 4.1, 5.446, 7.4, 1.1, 8.6, 141.5, 0.3254, 141.5, 3.7, 4.3, 0.8, 9.0, 89.8, 0.0, 0.3]",1
748233,"[33.9, 0.2598, 4.1, 1.7, 8.4, 1.3, 15.9, 0.3445, 0.7806000000000001, 5.2, 5.3, 0.4361, 0.9, 8.6, 0.3, 32.7, 3.8, 1.9, 3.7, 3.6079999999999997, 7.2, 1.2, 8.709999999999999, 139.2, 0.30219999999999997, 139.2, 4.0, 4.3, 0.7, 9.0, 85.2, 0.2, 0.7]","[35.4, 0.22669999999999998, 3.9, 1.9, 8.8, 0.7, 17.1, 0.3192, 0.6898, 4.0, 4.2, 0.37059999999999993, 0.6, 9.2, 0.2, 33.8, 4.3, 1.6, 3.6, 5.942000000000001, 7.6, 0.9, 9.1, 126.8, 0.31120000000000003, 126.8, 3.7, 3.9, 0.7, 9.4, 81.1, 0.1, 1.0]",0
748230,"[34.9, 0.21200000000000002, 4.4, 1.2, 8.6, 1.7, 15.7, 0.32039999999999996, 0.7002, 5.6, 5.9, 0.37979999999999997, 0.8, 8.8, 0.2, 34.7, 3.3, 1.7, 3.8, 4.406000000000001, 8.9, 0.8, 9.1, 127.6, 0.3185, 127.6, 4.0, 4.2, 1.0, 7.3, 84.4, 0.3, 0.9]","[30.9, 0.2334, 4.0, 0.8, 4.9, 1.0, 13.9, 0.3176, 0.6950999999999999, 2.1, 2.1, 0.37749999999999995, 0.4, 7.8, 0.0, 33.8, 2.2, 1.4, 3.5, 4.436, 7.7, 1.2, 9.01, 135.1, 0.28380000000000005, 135.1, 4.1, 4.1, 0.4, 8.5, 90.4, 0.0, 0.1]",1
748231,"[33.3, 0.2495, 2.7, 1.6, 8.2, 1.1, 14.1, 0.3234, 0.7619000000000001, 3.8, 4.2, 0.43850000000000006, 0.3, 9.0, 0.2, 33.0, 4.9, 1.2, 4.3, 4.893, 7.7, 1.6, 8.8, 146.7, 0.341, 146.7, 4.4, 4.8, 0.2, 8.3, 88.7, 0.2, 0.0]","[33.4, 0.236, 2.3, 1.1, 8.2, 1.2, 12.8, 0.2919999999999999, 0.6815, 3.8, 4.0, 0.3895, 0.6, 9.0, 0.3, 32.4, 4.6, 1.2, 5.1, 5.013, 8.3, 1.1, 8.5, 133.6, 0.35100000000000003, 133.6, 5.4, 5.5, 0.3, 8.5, 82.8, 0.4, 0.1]",0
748235,"[32.7, 0.24499999999999997, 3.3, 1.4, 7.3, 1.0, 14.2, 0.32260000000000005, 0.7404, 3.4, 3.8, 0.4178, 0.8, 9.7, 0.1, 32.6, 3.9, 1.1, 4.0, 4.029000000000001, 7.4, 1.4, 8.709999999999999, 140.1, 0.3121, 140.1, 4.2, 4.2, 0.4, 8.7, 89.6, 0.2, 0.1]","[32.9, 0.24630000000000002, 2.7, 1.5, 8.0, 0.7, 14.2, 0.3033, 0.6678, 3.5, 3.6, 0.3645, 1.1, 7.3, 0.0, 34.1, 5.1, 2.4, 4.4, 3.9449999999999994, 8.8, 1.0, 8.8, 156.3, 0.3578, 156.3, 5.1, 5.3, 1.6, 8.1, 93.9, 0.5, 0.3]",0
